Train Average Perplexity	76800.4062500000000000
she reclines her head sighing only the ethereal	161.0068054199218750
d ye ken bare socks	9915.9843750000000000
he laid the dry snot picked from his nostril on a ledge of rock carefully	7961.1923828125000000
must dress the character for those fellows	335.8330383300781250
a truerhearted lass never drew the breath of life always with a laugh in her gipsylike eyes and a frolicsome word on her cherryripe red lips a girl lovable in the extreme	34.7796096801757812
he passed a blind stripling opposite broadbent s in lower mount street a pedestrian in a brown macintosh eating dry bread passed swiftly and unscathed across the viceroy s path	2641.8288574218750000
mr bloom moved behind the portly kindly caretaker	16.8886413574218750
pardies and rendered into engliſh by john harris d d london printed for r knaplock at the biſhop s head mdccxi with dedicatory epiſtle to his worthy friend charles cox eſquire member of parliament for the burgh of southwark and having ink calligraphed statement on the flyleaf certifying that the book was the property of michael gallagher dated this 10th day of <date> and requeſting the perſon who should find it if the book should be loſt or go aſtray to reſtore it to michael gallagher carpenter dufery gate enniſcorthy county wicklow the fineſt place in the world	100.2854614257812500
hooked that nicely	46.5491447448730469
but he wants a par to call attention in the telegraph too the saturday pink	92.9288024902343750
he knows which side his bread is buttered says alf	16.8886337280273438
not even molly	1368.5762939453125000
the o connell circle mr dedalus said about him	19789.6582031250000000
he faced about and standing between the awnings held out his right hand at arm s length towards the sun	10585.7539062500000000
come home to ma da	37061.0507812500000000
the moment is now	46.5491142272949219
what is it	1974782.3750000000000000
the same room and hour the same wisdom and i the same	793.1497802734375000
gentlemen that pay the rent	34649.6875000000000000
and is that a fact	198.6580505371093750
never have little baby then less he was big strong fight his way up through	8810.7587890625000000
i ll take a stone ginger bantam lyons said	1299105.6250000000000000
very possibly i shall have you slaughtered and skewered in my stables and enjoy a slice of you with crisp crackling from the baking tin basted and baked like sucking pig with rice and lemon or currant sauce	5066.5991210937500000
malachias overcome by emotion ceased	4404.7470703125000000
i ll see him now in the ormond lenehan said and sound him	185.3615264892578125
down with bloom	60.4848594665527344
he checked his tale a moment but broke out in a wheezy laugh	511151.1562500000000000
florry with a glass of water enters where is he	162.2162322998046875
hellohellohello amawfullyglad kraark awfullygladaseeagain hellohello amawf krpthsth	34122.6093750000000000
zoe flattered what the eye can t see the heart can t grieve for	481.7983093261718750
see him sometimes walking about trying to find out who played the trick	2622.4938964843750000
when she had gone he said laughing	235.3984069824218750
